review_id,product_id,source,review,sentiment,length,date
R0084,P1083,App,Very disappointing.,Negative,154,2024-03-24
R0085,P1084,Email,Superb build and amazing performance.,Positive,103,2024-03-25
R0086,P1085,Email,Meets basic expectations.,Neutral,23,2024-03-26
R0087,P1086,Email,I had a bad experience.,Negative,133,2024-03-27
R0088,P1087,Store,I'm impressed with the design and function.,Positive,183,2024-03-28
R0089,P1088,Email,"Just okay, nothing exceptional.",Neutral,77,2024-03-29
R0090,P1089,Website,Worst purchase ever.,Negative,52,2024-03-30
R0091,P1090,App,I'm impressed with the design and function.,Positive,36,2024-03-31
R0092,P1091,Store,Not much to say about it.,Neutral,22,2024-04-01
R0093,P1092,App,Very disappointing.,Negative,109,2024-04-02
R0094,P1093,Email,I absolutely love this product!,Positive,84,2024-04-03
R0095,P1094,Email,Meets basic expectations.,Neutral,132,2024-04-04
R0096,P1095,Email,Product arrived broken.,Negative,93,2024-04-05
R0097,P1096,Store,Totally worth the price.,Positive,94,2024-04-06
R0098,P1097,Store,"It’s fine, works as intended.",Neutral,28,2024-04-07
R0099,P1098,Email,Worst purchase ever.,Negative,187,2024-04-08
R0100,P1099,Store,It exceeded my expectations.,Positive,124,2024-04-09
R0101,P1100,App,"It's okay, nothing special.",Neutral,101,2024-04-10
R0102,P1101,Store,Customer support was awful.,Negative,198,2024-04-11
R0103,P1102,App,It exceeded my expectations.,Positive,145,2024-04-12
R0104,P1103,Website,Neither good nor bad.,Neutral,154,2024-04-13
R0105,P1104,App,Terrible experience.,Negative,158,2024-04-14
R0106,P1105,Email,It exceeded my expectations.,Positive,195,2024-04-15
R0107,P1106,App,"It’s fine, works as intended.",Neutral,26,2024-04-16
R0108,P1107,App,Completely dissatisfied.,Negative,126,2024-04-17
R0109,P1108,Website,Highly recommend this to everyone.,Positive,123,2024-04-18
R0110,P1109,Website,"It's okay, nothing special.",Neutral,108,2024-04-19
R0111,P1110,Email,I had a bad experience.,Negative,75,2024-04-20
R0112,P1111,Store,Very satisfied with my purchase.,Positive,112,2024-04-21
R0113,P1112,Store,Meets basic expectations.,Neutral,152,2024-04-22
R0114,P1113,App,Worst purchase ever.,Negative,69,2024-04-23
R0115,P1114,Email,Highly recommend this to everyone.,Positive,126,2024-04-24
R0116,P1115,Website,Neither good nor bad.,Neutral,121,2024-04-25
R0117,P1116,Email,Customer support was awful.,Negative,62,2024-04-26
R0118,P1117,Store,Highly recommend this to everyone.,Positive,47,2024-04-27
R0119,P1118,App,"It's okay, nothing special.",Neutral,24,2024-04-28
R0120,P1119,App,Completely dissatisfied.,Negative,76,2024-04-29
R0121,P1120,Store,It exceeded my expectations.,Positive,53,2024-04-30
R0122,P1121,Website,Performance is acceptable.,Neutral,72,2024-05-01
R0123,P1122,Email,Worst purchase ever.,Negative,197,2024-05-02
R0124,P1123,Email,Totally worth the price.,Positive,200,2024-05-03
R0125,P1124,Email,"Just okay, nothing exceptional.",Neutral,164,2024-05-04
R0126,P1125,Store,Very disappointing.,Negative,190,2024-05-05
R0127,P1126,Store,It exceeded my expectations.,Positive,85,2024-05-06
R0128,P1127,Email,Neither good nor bad.,Neutral,102,2024-05-07
R0129,P1128,Website,Poor quality and slow delivery.,Negative,51,2024-05-08
R0130,P1129,Email,Excellent quality and fast shipping.,Positive,80,2024-05-09
R0131,P1130,Email,"Just okay, nothing exceptional.",Neutral,126,2024-05-10
R0132,P1131,App,Not worth the money.,Negative,96,2024-05-11
R0133,P1132,Store,Very satisfied with my purchase.,Positive,97,2024-05-12
R0134,P1133,Email,Neither good nor bad.,Neutral,24,2024-05-13
R0135,P1134,Email,Completely dissatisfied.,Negative,75,2024-05-14
R0136,P1135,Email,This is a game changer!,Positive,160,2024-05-15
R0137,P1136,Store,Decent product for the price.,Neutral,183,2024-05-16
R0138,P1137,Website,Not worth the money.,Negative,183,2024-05-17
R0139,P1138,App,Totally worth the price.,Positive,168,2024-05-18
R0140,P1139,Website,"It's okay, nothing special.",Neutral,62,2024-05-19
R0141,P1140,App,Not worth the money.,Negative,90,2024-05-20
R0142,P1141,App,Excellent quality and fast shipping.,Positive,96,2024-05-21
R0143,P1142,Website,Satisfactory experience.,Neutral,22,2024-05-22
R0144,P1143,Website,Not worth the money.,Negative,183,2024-05-23
R0145,P1144,Email,Highly recommend this to everyone.,Positive,79,2024-05-24
R0146,P1145,Store,Meets basic expectations.,Neutral,24,2024-05-25
R0147,P1146,Store,Product arrived broken.,Negative,82,2024-05-26
R0148,P1147,App,Totally worth the price.,Positive,69,2024-05-27
R0149,P1148,App,Performance is acceptable.,Neutral,120,2024-05-28
R0150,P1149,Email,Customer support was awful.,Negative,149,2024-05-29
